MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
4,6,10,1,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,4,24,6135,0,17,2,1
4,6,10,1,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,4,24,6135,9,2,2,1
4,6,10,1,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,4,24,6137,0,22,2,1
4,6,10,1,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,4,24,6137,0,19,2,1
4,6,10,1,25,3.40947826448299,-76.5473633540787,77,3.42300676194683,-76.5471434261955,4,24,6135,0,15,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6137,0,2,2,1
