,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
0,43,7,0,6135,3.45297491831844,-76.5313634424706
1,43,7,0,6137,3.45297491831844,-76.5313634424706
2,75,10,0,6135,3.45384637947355,-76.5298314123795
3,4,2,0,6135,3.4634191652463,-76.5253727391587
4,4,2,0,6137,3.4634191652463,-76.5253727391587
5,4,2,0,6135,3.4634191652463,-76.5253727391587
6,4,2,0,6137,3.4634191652463,-76.5253727391587
7,50,7,0,6135,3.4398103356365,-76.522518369508
8,50,7,0,6137,3.4398103356365,-76.522518369508
9,57,4,0,6135,3.44524469691041,-76.5148320438954
10,57,4,0,6137,3.44524469691041,-76.5148320438954
11,57,4,0,6135,3.44524469691041,-76.5148320438954
12,57,4,0,6137,3.44524469691041,-76.5148320438954
13,38,2,0,6137,3.44524469691041,-76.5148320438954
14,38,2,0,6135,3.44524469691041,-76.5148320438954
15,29,15,0,6135,3.42300676194683,-76.5471434261955
16,16,7,0,6135,3.41840956522489,-76.5482712818292
17,7,8,0,6135,3.44506799102323,-76.4875814710183
18,13,7,0,6135,3.44402100008543,-76.5209314646704
19,13,7,0,6137,3.44402100008543,-76.5209314646704
20,27,15,0,6137,3.44332180671126,-76.4839397169372
21,27,15,0,6137,3.44332180671126,-76.4839397169372
22,61,18,0,6138,3.44801119892302,-76.5299371464294
23,36,10,0,6135,3.44845956177583,-76.5277138083573
24,36,10,0,6135,3.44845956177583,-76.5277138083573
25,36,10,0,6137,3.44845956177583,-76.5277138083573
26,45,8,0,6137,3.4398103356365,-76.522518369508
27,45,8,0,6137,3.4398103356365,-76.522518369508
28,23,4,0,6137,3.44524469691041,-76.5148320438954
29,23,4,0,6135,3.44524469691041,-76.5148320438954
30,61,7,0,8373,3.48890402204464,-76.5078521568375
31,61,7,0,8369,3.48890402204464,-76.5078521568375
32,30,10,0,6137,3.44845956177583,-76.5277138083573
33,30,10,0,6135,3.44845956177583,-76.5277138083573
34,30,10,0,6135,3.44845956177583,-76.5277138083573
35,30,10,0,6137,3.44845956177583,-76.5277138083573
36,30,10,0,6135,3.44845956177583,-76.5277138083573
37,30,10,0,6135,3.44845956177583,-76.5277138083573
38,45,9,0,6137,3.45297491831844,-76.5313634424706
39,45,9,0,6137,3.45297491831844,-76.5313634424706
40,45,9,0,6137,3.45297491831844,-76.5313634424706
41,45,9,0,6137,3.45297491831844,-76.5313634424706
42,45,9,0,6137,3.45297491831844,-76.5313634424706
43,45,9,0,6137,3.45297491831844,-76.5313634424706
44,48,15,0,6137,3.44801119892302,-76.5299371464294
45,48,15,0,6135,3.44801119892302,-76.5299371464294
46,48,15,0,6135,3.44801119892302,-76.5299371464294
47,59,17,0,6141,3.44332180671126,-76.4839397169372
48,59,17,0,6138,3.44332180671126,-76.4839397169372
49,56,7,0,6137,3.41432646569837,-76.5482149554339
50,56,7,0,6138,3.41432646569837,-76.5482149554339
